id,name,year,citationcount,affiliation
p0227,Ben Shneiderman,2000,3,"Human Computer Interaction Laboratory & Department of Computer Science, University of Maryland, College Park, MD"
p2688,Tom Hewett,2000,3,"Department of Psychology, Sociology and Anthropology, Drexel University, Philadelphia, PA"
p1048,Hon-Cheng Wong,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China"
p1063,Huamin Qu,2006,7,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"
p2727,Un-Hong Wong,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China"
p3026,Zesheng Tang,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China"
p1508,Klaus Mueller,2006,7,"Department of Computer Science, Stony Brook University, Stony Brook"
p2578,Tamara Munzner,2003,485,University of British Columbia
p0832,François Guimbretière,2003,485,University of Maryland
p2384,Serdar Tasiran,2003,485,Hewlett Packard Systems Research Center
p1573,Li Zhang,2003,485,Hewlett Packard Systems Research Center
p3007,Yunhong Zhou,2003,485,Hewlett Packard Systems Research Center
p0954,Haixia Zhao,2005,18,"Univ Maryland, Human Comp Interact Lab, College Pk, MD 20742 USA"
p0227,Ben Shneiderman,2005,18,"University of Maryland, College Park, MD"
p0227,Ben Shneiderman,2005,0,"University of Maryland, College Park, MD"
p0151,Anna Tikhonova,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
p0323,Carlos D. Correa,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
p1533,Kwan-Liu Ma,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
p0962,Han-Wei Shen,1996,138,"Department of Computer Science, University of Utah, Salt Lake City, UT"
p0445,Christopher R. Johnson,1996,138,"Department of Computer Science, University of Utah, Salt Lake City, UT"
p1533,Kwan-Liu Ma,1996,138,"ICASE, NASA Langley Research Center, Hampton, Virginia"
p0026,Adam Perer,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742"
p0227,Ben Shneiderman,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742"
p0658,Douglas W. Oard,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and College of Information Studies, University of Maryland, College Park, MD 20742"
p1956,Nathaniel Fout,2005,30,"Department of Computer Science, The University of California, Davis"
p1045,Hiroshi Akiba,2005,30,"Department of Computer Science, The University of California, Davis"
p1533,Kwan-Liu Ma,2005,30,"Department of Computer Science, The University of California, Davis"
p0009,Aaron E. Lefohn,2005,30,"Department of Computer Science, The University of California, Davis"
p1294,Joe Kniss,2005,30,"Department of Computer Science, The University of Utah"
p1793,Maylis Delest,2004,26,Université de Bordeaux I
p2578,Tamara Munzner,2004,26,University of British Columbia
p0541,David Auber,2004,26,Université de Bordeaux I
p1188,Jean-Philippe Domenger,2004,26,Université de Bordeaux I
p1260,Jiansu Pu,2012,6,"Hong Kong University of Science and Technology, Hong Kong"
p2454,Siyuan Liu,2012,6,"iLab, Heinz College, Carnegie Mellon University, Pittsburgh, PA, USA"
p1063,Huamin Qu,2012,6,"Hong Kong University of Science and Technology, Hong Kong"
p1595,Lionel M. Ni,2012,6,"Hong Kong University of Science and Technology, Hong Kong"
p0395,Chris North,2000,424,"Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, College Park, MD"
p0227,Ben Shneiderman,2000,424,"Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, College Park, MD"
p2429,Shyh-Kuang Ueng,1997,158,"Dept. of Comput. Sci., Nat. Taiwan Ocean Univ., Keelung, Taiwan"
p0430,Christopher A. Sikorski,1997,158,"Department of Computer Science, University of Utah, Salt Lake, UT, USA"
p1533,Kwan-Liu Ma,1997,158,"Institute for Computer Applications in Science and Engineering (ICASE), NASA-Langley Research Center, Hampton, VA, USA"
p0745,Evan Golub,2003,26,"Department of Computer Science and Human Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD 20742, USA."
p0227,Ben Shneiderman,2003,26,"Department of Computer Science and Human Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD 20742, USA"
p0053,Aleks Aris,2009,31,"Department of Computer Science and Human–Computer Interaction Lab, University of Maryland, College Park, MD 20742"
p0227,Ben Shneiderman,2009,31,"Department of Computer Science and Human–Computer Interaction Lab, University of Maryland, College Park, MD 20742"
p2736,Vahed Qazvinian,2009,31,"Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI 48109"
p0659,Dragomir R. Radev,2009,31,"Univ Michigan, Dept Elect Engn & Comp Sci, Ann Arbor, MI 48109 USA"
p1956,Nathaniel Fout,2007,89,"Univesity of California, Davis, USA"
p1533,Kwan-Liu Ma,2007,89,"Univesity of California, Davis, USA"
p0431,Christopher Ahlberg,1994,305,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research, University of Maryland, College Park, MD"
p0227,Ben Shneiderman,1994,305,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research, University of Maryland, College Park, MD"
p0026,Adam Perer,2008,263,"University of Maryland, College Park, MD, USA"
p0227,Ben Shneiderman,2008,263,"University of Maryland, College Park, MD, USA"
p1773,Matthew Powers,1984,83,"Univ. of Maryland, College Park, MD"
p0476,Conda Lashley,1984,83,"Univ. of Maryland, College Park, MD"
p2030,Pamela Sanchez,1984,83,"Univ. of Maryland, College Park, MD"
p0227,Ben Shneiderman,1984,83,"Univ. of Maryland, College Park, MD"
p0394,Chris Muelder,2009,68,"University of California, Davis, USA"
p1533,Kwan-Liu Ma,2009,68,"University of California, Davis, USA"
p0227,Ben Shneiderman,1995,1,"University of Maryland, College Park, MD"
p0828,Franz Sauer,2013,5,"University of California, Davis, California"
p1052,Hongfeng Yu,2013,5,"University of Nebraska, Lincoln, Nebraska"
p1533,Kwan-Liu Ma,2013,5,"University of California, Davis, California"
p0227,Ben Shneiderman,1980,10,"Department of Computer Science, University of Maryland, College Park, MD 20742, USA"
p0901,Glenn Thomas,1980,10,"Kent State University, Kent, OH"
p1533,Kwan-Liu Ma,2006,24,"Department of Computer Science, University of California at Davis"
p0227,Ben Shneiderman,1996,1,"University of Maryland, College Park, MD"
p0227,Ben Shneiderman,1974,0,"Indiana University Bloomington, Indiana"
p1809,Mengdie Hu,2012,230,"Georgia Institute of Technology, Atlanta, GA, United States"
p2418,Shixia Liu,2012,230,"Microsoft Research Asia, Beijing, China"
p0849,Furu Wei,2012,230,"Microsoft Research Asia, Beijing, China"
p2949,Yingcai Wu,2012,230,"University of California at Davis, Davis, California, United States"
p1334,John Stasko,2012,230,"Georgia Institute of Technology, Atlanta, GA, United States"
p1533,Kwan-Liu Ma,2012,230,"University of California at Davis, Davis, California, United States"
p0227,Ben Shneiderman,1997,10,Univ. of Maryland at College Park
p2429,Shyh-Kuang Ueng,1996,122,"UNIV UTAH, DEPT COMP SCI, SALT LAKE CITY, UT 84112 USA"
p0447,Christopher Sikorski,1996,122,"NASA, LANGLEY RES CTR, INST COMP APPLICAT SCI & ENGN, HAMPTON, VA 23681 USA"
p1533,Kwan-Liu Ma,1996,122,"NASA, LANGLEY RES CTR, INST COMP APPLICAT SCI & ENGN, HAMPTON, VA 23681 USA"
p0227,Ben Shneiderman,1998,220,"Department of Computer Science and Human-Computer Interaction Laboratory, University of Maryland, College Park"
p0644,Donald Byrd,1998,220,"Computer Science Department, University of Massachusetts, Amherst and Advanced Music Notation Systems, Inc., Williamsburg, Mass."
p2770,W. Bruce Croft,1998,220,"Department of Computer Science and Intelligent Information Retrieval, University of Massachusetts, Amherst"
p1614,Lori L. Scarlatos,1997,19,"Brooklyn College, Department of Computer and Information Science, 2900 Bedford Avenue, Brooklyn, NY"
p2295,Rudolph P. Darken,1997,19,Naval Postgraduate School
p1513,Komei Harada,1997,19,"NEC, Inc"
p0334,Carrie Heeter,1997,19,"Michigan State University, East Lansing, MI"
p2223,Richard Muller,1997,19,Hampshire College
p0227,Ben Shneiderman,1997,19,"University of Maryland, College Park, MD"
p0286,Brad A. Myers,1991,22,"School of Computer Science, Carnegie Mellon University, Pittsburgh, PA"
p0087,Allen Cypher,1991,22,"Apple Computer, Inc., Cupertino, CA"
p0566,David Maulsby,1991,22,"Calgary, Alberta, Canada"
p0544,David C. Smith,1991,22,"Apple Computer, Inc., Cupertino, CA"
p0227,Ben Shneiderman,1991,22,"University of Maryland, College Park, MD"
p0227,Ben Shneiderman,1986,78,"UNIV MARYLAND,DEPT COMP SCI,COLLEGE PK,MD 20742, USA"
p1864,Michael Sedlmair,2012,828,University of British Columbia
p1908,Miriah D. Meyer,2012,828,University of Utah
p2578,Tamara Munzner,2012,828,University of British Columbia
p0227,Ben Shneiderman,1981,0,"Department of Computer Science, University of Maryland, College Park, MD 20742, USA"
p1533,Kwan-Liu Ma,1993,19,"ICASE, NASA Langley Research Center, Hampton, Virginia"
p2097,Philip J. Smith,1993,19,"University of Utah, Salt Lake City, Utah"
p1334,John Stasko,1992,188,
p0998,Haomian Wang,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p2791,Weiwei Cui,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p1051,Hong Zhou,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p2949,Yingcai Wu,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p1063,Huamin Qu,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p0293,Brett Wilson,2002,41,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA"
p0721,Eric B. Lum,2002,41,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p1533,Kwan-Liu Ma,2002,41,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p0373,Cheng-Kai Chen,2008,9,"University of California, Davis, CA, USA"
p2302,Russell Thomason,2008,9,"University of California, Davis, CA, USA"
p1533,Kwan-Liu Ma,2008,9,"University of California, Davis, CA, USA"
p0298,Brian Johnson,1991,2238,"University of Maryland, College Park, MD"
p0227,Ben Shneiderman,1991,2238,"University of Maryland, College Park, MD"
p1282,Jinwook Seo,2006,119,"University of Maryland, College Park, MD"
p0227,Ben Shneiderman,2006,119,"University of Maryland, College Park, MD"
p2988,Yubo Zhang,2011,15,"University of California, Davis"
p0323,Carlos D. Correa,2011,15,Lawrence Livermore National Laboratory
p1533,Kwan-Liu Ma,2011,15,"University of California, Davis"
p1334,John Stasko,2006,0,
p1772,Matthew O. Ward,2006,0,
p1063,Huamin Qu,2004,14,Stony Brook University
p1942,Nan Zhang,2004,14,Stony Brook University
p2171,Ran Shao,2004,14,Stony Brook University
p0177,Arie E. Kaufman,2004,14,Stony Brook University
p1508,Klaus Mueller,2004,14,Stony Brook University
p0337,Carsten Gorg,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: goerg@cc.gatech.edu"
p3045,Zhicheng Liu,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: zcliu@cc.gatech.edu"
p1960,Neel Parekh,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: justneel@gmail.com"
p1441,Kanupriya Singhal,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: ksinghal@cc.gatech.edu"
p1334,John Stasko,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: stasko@cc.gatech.edu"
p0323,Carlos D. Correa,2009,87,"University of California, Davis, USA"
p1533,Kwan-Liu Ma,2009,87,"University of California, Davis, USA"
p1533,Kwan-Liu Ma,2008,1,University of California at Davis
p2949,Yingcai Wu,2011,0,"University of California, Davis"
p1533,Kwan-Liu Ma,2011,0,"University of California, Davis"
p1533,Kwan-Liu Ma,2012,199,"University of California, Davis"
p1079,I Liao,2012,199,"University of California, Davis"
p1109,J Frazier,2012,199,The Exploratorium
p0944,H Hauser,2012,199,University of Bergen
p0945,H-N Kostis,2012,199,NASA Goddard Space Flight Center
p0813,Francis Harvey,1996,1,"Swiss Institute of Technology (EPFL), Lausanne, Switzerland"
p0225,Ben Gross,1996,1,Sociology
p2092,Philip E. Agre,1996,1,"Univ. of California, San Diego, San Diego"
p2977,Yu-Hsuan Chan,2013,49,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave,2063 Kemper Hall, Davis, CA 95616 USA"
p0322,Carlos D Correa,2013,49,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p1533,Kwan-Liu Ma,2013,49,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p1795,Megan Monroe,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
p2285,Rongjian Lan,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
p0990,Hanseung Lee,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
p0340,Catherine Plaisant,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
p0227,Ben Shneiderman,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland"
p2813,William A. Pike,2009,344,"Pacific Northwest National Laboratory, Richland, WA"
p1334,John Stasko,2009,344,"Georgia lristitute of Technology, Atlanta, GA"
p2190,Remco Chang,2009,344,"University of North Carolina at Charlotte, Charlotte, NC"
p2604,Theresa A. O'Connell,2009,344,"National lnstitute of Standards and Technology, Gaithersburg, MD"
p1063,Huamin Qu,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
p0788,Feng Qiu,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
p1942,Nan Zhang,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
p0177,Arie E. Kaufman,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
p1898,Ming Wan,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA"
p1764,Matt Williams,2004,160,University of British Columbia
p2578,Tamara Munzner,2004,160,University of British Columbia
p2216,Richard J. Miara,1983,185,"Univ. of Maryland, College Park"
p1373,Joyce A. Musselman,1983,185,"Univ. of Maryland, College Park"
p1377,Juan A. Navarro,1983,185,"Univ. of Maryland, College Park"
p0227,Ben Shneiderman,1983,185,"Univ. of Maryland, College Park"
p0227,Ben Shneiderman,2000,1,"Univ. of Maryland, College Park"
p0227,Ben Shneiderman,2006,296,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
p0886,Gerhard Fischer,2006,296,"University of Colorado, Boulder, CO 80309, USA"
p1752,Mary Czerwinski,2006,296,"Microsoft Research, Redmond, WA 98052, USA"
p1912,Mitchel Resnick,2006,296,"MIT Media Lab, Cambridge, MA 02139, USA"
p0286,Brad A. Myers,2006,296,"Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA 15213, USA"
p1588,Linda Candy,2006,296,"University of Technology, Sydney, Australia"
p0735,Ernest A. Edmonds,2006,296,"University of Technology, Sydney, Australia"
p1879,Mike Eisenberg,2006,296,"University of Colorado, Boulder, CO 80309, USA"
p0694,Elisa Giaccardi,2006,296,"University of Colorado, Boulder, CO 80309, USA"
p2629,Thomas T. Hewett,2006,296,"Drexel University, Philadelphia, PA 19104, USA"
p2029,Pamela Jennings,2006,296,"Carnegie Mellon University, Pittsburgh, PA 15213, USA"
p0263,Bill Kules,2006,296,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
p1527,Kumiyo Nakakoji,2006,296,Uni. of Tokyo
p1179,Jay F. Nunamaker,2006,296,University of Arizona
p2173,Randy F. Pausch,2006,296,Carnegie Mellon University
p2597,Ted Selker,2006,296,MIT Media Lab
p0695,Elisabeth Sylvan,2006,296,MIT Media Lab
p1817,Michael A. Terry,2006,296,Georgia Institute of Technology
p1310,John Alexis Guerra Gómez,2011,12,"HCIL & Department of Computer Science, University of Maryland, USA"
p0202,Audra Buck-Coleman,2011,12,"Department of Art, University of Maryland, USA"
p0340,Catherine Plaisant,2011,12,"HCIL, University of Maryland, UMIACS, USA"
p0227,Ben Shneiderman,2011,12,"HCIL & Department of Computer Science, University of Maryland, USA"
p0330,Carmen Sigovan,2013,28,"Univ Calif Davis, Davis, CA 95616 USA"
p0394,Chris Muelder,2013,28,"Univ Calif Davis, Davis, CA 95616 USA"
p1533,Kwan-Liu Ma,2013,28,"Univ Calif Davis, Davis, CA 95616 USA"
p1172,Jason Cope,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA"
p1437,Kamil Iskra,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA"
p2255,Robert Ross,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA"
p2778,Wei Chen,2009,74,"State Key Lab of CAD&CG,Zhejiang University"
p3064,Zi'ang Ding,2009,74,"State Key Lab of CAD&CG,Zhejiang University"
p2459,Song Zhang,2009,74,"Department of Computer Science and Engineering,Mississippi State University"
p0150,Anna MacKay-Brandt,2009,74,Brown University
p2509,Stephen Correia,2009,74,Brown University
p1063,Huamin Qu,2009,74,"Department of Computer Science and Engineering,The Hong Kong University of Science and Technology"
p1311,John Allen Crow,2009,74,"College of Veterinary Medicine, Mississippi State University"
p0551,David F Tate,2009,74,Brigham and Women’s Hospital
p3046,Zhicheng Yan,2009,74,"State Key Lab of CAD&CG,Zhejiang University"
p2143,Qunsheng Peng,2009,74,"State Key Lab of CAD&CG,Zhejiang University"
p2592,Tarik Crnovrsanin,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States"
p0394,Chris Muelder,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States"
p2238,Robert Faris,2014,69,"Department of Sociology, 2247 Social Science and Humanities, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States"
p0613,Diane Felmlee,2014,69,"Department of Sociology, Pennsylvania State University, Oswald Tower, University Park, PA 16802, United States"
p1533,Kwan-Liu Ma,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States"
p1077,Hyunmo Kang,2006,22,"Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies & Institute for Systems Research, University of Maryland at College Park, College Par ..."
p0227,Ben Shneiderman,2006,22,"Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies & Institute for Systems Research, University of Maryland at College Park, College Par ..."
p0227,Ben Shneiderman,2006,628,University of Maryland
p0340,Catherine Plaisant,2006,628,University of Maryland
p0444,Christopher Plaue,2004,94,"Georgia Institute of Technology, Atlanta, GA"
p2681,Todd Miller,2004,94,"Georgia Institute of Technology, Atlanta, GA"
p1334,John Stasko,2004,94,"Georgia Institute of Technology, Atlanta, GA"
p0320,Carl Machover,1995,0,Machover Associates Corporation
p0864,Gavin Bell,1995,0,Silicon Graphics
p2578,Tamara Munzner,1995,0,"Geometry Center, University of Minnesota"
p0767,Fabio Pettinati,1995,0,Apple Computer
p2739,Val Watson,1995,0,NASA Ames Research Center
p0227,Ben Shneiderman,1990,1,"University of Maryland, College Park, MD"
p2977,Yu-Hsuan Chan,2010,14,"University of California, Davis"
p1503,Kimberly Keeton,2010,14,"Hewlett-Packard Labs, Palo Alto, CA"
p1533,Kwan-Liu Ma,2010,14,"University of California, Davis"
p1533,Kwan-Liu Ma,2013,44,"University of California, Davis"
p0398,Chris W. Muelder,2013,44,"University of California, Davis"
p2508,Stephen C. North,2004,0,AT&T
p2578,Tamara Munzner,2004,0,University of British Columbia
p2712,Tzi-cker Chiueh,1997,18,"SUNY Stony Brook, Dept Comp Sci, Stony Brook, NY 11794 USA"
p1533,Kwan-Liu Ma,1997,18,"ICASE, NASA Langley Research Center, Hampton, Virginia"
p0227,Ben Shneiderman,1998,2,"Human-Computer Interaction Laboratory, University of Maryland, College Park, MD"
p0340,Catherine Plaisant,1998,2,"Human-Computer Interaction Laboratory, University of Maryland, College Park, MD"
p2270,Rohit Mahajan,1997,137,"BDM Int, 1501 BDM Way, Mclean, VA 22101 USA"
p0227,Ben Shneiderman,1997,137,"University of Maryland, College Park, MD"
p0263,Bill Kules,2004,44,"University of Maryland, College Park, MD"
p1077,Hyunmo Kang,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA"
p0340,Catherine Plaisant,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA"
p0153,Anne Rose,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA"
p0227,Ben Shneiderman,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA"
p0915,Greg Schussman,2002,18,"Univ Calif Davis, Ctr Image Proc & Integrated Computing, Dept Comp Sci, Davis, CA 95616 USA"
